表情：🪪	身份证
表情：🎏	鲤鱼
表情：🎏	鲤鱼旗
表情：🎐	风铃
表情：🧧	红包
表情：🎁	礼物
表情：🎀	蝴蝶结
表情：🔮	水晶球
表情：🧿	护身符
表情：🧸	泰迪熊
表情：🖼	画
表情：🎚	调节
表情：📻	收音机
表情：📲	来电
表情：☎	电话
表情：📟	BP机
表情：📟	传呼机
表情：📠	传真
表情：🔋	电池
表情：🔌	插销
表情：🔌	插头
表情：🔌	充电
表情：💻	笔记本
表情：💻	电脑
表情：🖥	台式机
表情：🖨	打印机
表情：🖨	打印
表情：⌨	键盘
表情：🖱	鼠标
表情：💽	盘
表情：💽	硬盘
表情：💾	软盘
表情：💿	光盘
表情：🧮	算盘
表情：💱	兑换
表情：📺	电视
表情：📷	照相机
表情：📷	相机
表情：📹	摄像机
表情：📹	录像机
表情：📼	磁带
表情：🔍	放大镜
表情：🔍	找
表情：🔍	查找
表情：🪞	镜子
表情：🪞	镜
表情：🪟	窗
表情：🪟	窗户
表情：🪟	窗子
表情：🪠	搋子
表情：🪤	捕鼠器
表情：🪤	老鼠夹
表情：🕯	蜡烛
表情：💡	灯
表情：💡	电灯
表情：💡	灯泡
表情：🫧	气泡
表情：🫧	泡
表情：🔦	手电
表情：🏮	灯笼
表情：📕	书
表情：📒	账本
表情：📖	词典
表情：📖	辞典
表情：📃	纸
表情：📰	报纸
表情：📑	书签
表情：🏷	标签
表情：💳	信用卡
表情：🧾	收据
表情：🧾	发票
表情：✉	信封
表情：✉	信
表情：📧	电子邮件
表情：📧	邮件
表情：📦	包裹
表情：📦	包装
表情：📦	箱
表情：📦	箱子
表情：📦	盒子
表情：📧	邮箱
表情：🗳	投票
表情：✏	笔
表情：✏	铅笔
表情：✒	钢笔
表情：🖌	画笔
表情：🖍	蜡笔
表情：🖊	圆珠笔
表情：📝	备忘录
表情：📂	文件夹
表情：📅	日历
表情：📌	钉
表情：📌	图钉
表情：📌	按钉
表情：📌	摁钉
表情：📎	曲别针
表情：📎	回形针
表情：📎	别针
表情：📏	尺
表情：📏	直尺
表情：📏	格尺
表情：📐	三角尺
表情：✂	剪子
表情：✂	剪刀
表情：🪒	剃须刀
表情：🗑	垃圾桶
表情：🔒	锁
表情：🔑	钥匙
表情：🔨	锤子
表情：🔨	锤
表情：⛏	锄
表情：⛏	锄头
表情：🗡	匕首
表情：⚔	剑
表情：🔫	枪
表情：🔫	手枪
表情：🛡	盾
表情：🛡	盾牌
表情：🔧	扳手
表情：🔩	螺丝
表情：⚙	齿轮
表情：🛞	轮子
表情：🛞	轮
表情：🛞	轮胎
表情：🗜	夹子
表情：⚖	天平
表情：🔗	链子
表情：🧰	工具箱
表情：🧲	磁铁
表情：🧲	吸铁石
表情：⚗	蒸馏
表情：🧪	试管
表情：🧫	培养皿
表情：🧬	DNA
表情：🧬	基因
表情：🧯	灭火器
表情：🔬	显微镜
表情：🔭	望远镜
表情：📡	天线
表情：🛣	高速
表情：🛣	路
表情：🛣	公路
表情：🛣	高速公路
表情：💉	针
表情：🪡	针线
表情：🪡	缝纫
表情：🪡	缝补
表情：💉	针管
表情：💊	药
表情：🪢	绳
表情：🪢	绳子
